ensembl	symbol	datatype	CCRCC.val	CCRCC.pval	COAD.val	COAD.pval	HNSCC.val	HNSCC.pval	LSCC.val	LSCC.pval	LUAD.val	LUAD.pval	OV.val	OV.pval	PDAC.val	PDAC.pval	UCEC.val	UCEC.pval	metap
ENSG00000148634	HERC4	protein	-9.3e-02	-4.0e-05	-1.1e-01	-9.0e-07	 5.9e-03	 8.3e-01	-7.2e-02	-3.7e-03	 7.8e-02	 1.9e-04	-8.9e-02	-3.3e-01	 1.5e-01	 6.7e-06	 8.3e-02	 4.8e-02	  3.8e-01
ENSG00000138646	HERC5	protein	 4.0e-02	 5.3e-01	NA	NA	 5.5e-01	 8.8e-11	 3.4e-02	 5.5e-01	-1.4e-01	-1.9e-03	-1.1e-01	-2.9e-01	-9.8e-02	-3.1e-01	-4.9e-01	-1.2e-04	 -6.1e-01
ENSG00000138642	HERC6	protein	NA	NA	NA	NA	 1.1e-01	 2.6e-01	 2.5e-01	 3.2e-03	 3.3e-02	 7.1e-01	-2.7e-01	-2.5e-01	 4.9e-01	 4.0e-03	NA	NA	  5.8e-03
ENSG00000051108	HERPUD1	protein	-1.8e-01	-2.7e-04	 5.0e-02	 4.7e-01	 2.4e-01	 1.3e-02	 5.4e-01	 2.9e-16	 5.9e-01	 4.0e-21	-3.7e-01	-1.1e-01	-7.2e-01	-3.6e-07	 1.3e-01	 2.7e-01	  4.0e-05
ENSG00000122557	HERPUD2	protein	NA	NA	 4.0e-01	 4.7e-08	 3.8e-01	 1.7e-05	 2.5e-01	 5.0e-10	 5.1e-01	 1.0e-17	 2.6e-01	 2.6e-02	 2.5e-01	 1.9e-02	-3.8e-02	-8.2e-01	  9.3e-28
ENSG00000114315	HES1	protein	-5.4e-01	-1.1e-06	NA	NA	 6.9e-01	 5.1e-06	 5.8e-01	 7.8e-19	 1.9e-01	 1.4e-02	-1.6e+00	-4.1e-03	 3.6e-01	 2.5e-02	 2.3e+00	 5.5e-06	  1.7e-08
ENSG00000069812	HES2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000173673	HES3	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188290	HES4	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000197921	HES5	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000144485	HES6	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179111	HES7	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000163666	HESX1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000213614	HEXA	protein	-5.6e-01	-1.2e-22	-3.2e-01	-2.7e-07	 2.5e-01	 1.5e-06	-2.0e-01	-1.3e-06	 1.8e-01	 9.7e-06	 3.9e-01	 6.2e-05	 6.5e-01	 2.1e-11	 2.2e-01	 1.8e-03	  8.6e-02
ENSG00000049860	HEXB	protein	-5.1e-01	-1.2e-16	 7.3e-02	 1.4e-01	 2.7e-01	 3.6e-06	-3.0e-01	-1.2e-10	 2.0e-01	 6.4e-05	 2.2e-01	 2.1e-02	 3.4e-01	 8.2e-06	 4.1e-01	 2.3e-07	  8.8e-03
ENSG00000169660	HEXD	protein	 2.6e-01	 2.3e-04	NA	NA	-5.6e-01	-9.7e-13	-3.5e-01	-7.3e-11	-1.5e-01	-2.2e-04	-2.5e-02	-9.0e-01	-5.5e-01	-5.0e-07	-2.8e-01	-4.5e-04	 -3.2e-17
ENSG00000186834	HEXIM1	protein	 2.9e-02	 2.1e-01	-2.5e-01	-4.9e-05	 2.4e-01	 4.4e-08	 5.1e-01	 8.3e-28	 4.1e-01	 6.5e-25	 2.4e-01	 3.0e-02	 1.9e-01	 1.1e-03	-9.4e-02	-1.6e-01	  5.1e-23
ENSG00000168517	HEXIM2	protein	-3.2e-01	-3.8e-14	-1.3e-01	-2.8e-01	-2.2e-01	-9.9e-03	 6.0e-02	 1.3e-01	 2.6e-01	 2.1e-09	NA	NA	 2.9e-01	 1.1e-01	-1.6e-01	-1.3e-01	 -1.7e-01
ENSG00000164683	HEY1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000135547	HEY2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000163909	HEYL	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000010704	HFE	protein	 6.1e-01	 2.5e-16	NA	NA	-1.7e-01	-3.1e-02	-5.2e-01	-7.7e-23	-3.9e-01	-7.4e-16	NA	NA	 3.5e-01	 1.5e-04	NA	NA	 -3.1e-04
ENSG00000162669	HFM1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000113924	HGD	protein	-9.8e-01	-7.0e-23	-5.8e-01	-3.9e-05	-1.3e-01	-1.3e-01	-2.4e-01	-4.0e-01	 3.1e-01	 2.3e-02	NA	NA	-8.3e-01	-1.7e-08	 2.1e-01	 3.1e-01	 -1.7e-12
ENSG00000019991	HGF	protein	-9.8e-01	-6.2e-22	NA	NA	-4.9e-02	-8.6e-01	-7.6e-01	-2.6e-25	-3.5e-01	-2.0e-12	NA	NA	 5.0e-01	 8.6e-05	-3.8e-01	-1.1e-02	 -4.9e-26
ENSG00000109758	HGFAC	protein	 9.7e-02	 1.6e-01	-4.6e-01	-6.4e-05	-8.5e-01	-9.5e-21	-1.1e+00	-2.0e-31	-8.9e-01	-3.0e-32	-1.1e+00	-6.2e-09	 9.7e-02	 4.2e-01	-7.4e-01	-1.4e-08	 -1.1e-59
ENSG00000235173	HGH1	protein	 1.3e-01	 1.2e-07	-6.8e-02	-9.9e-03	-3.3e-02	-4.0e-01	-5.3e-02	-6.0e-02	-3.3e-02	-1.9e-01	-1.1e-01	-1.4e-01	 1.4e-01	 1.5e-02	-8.4e-02	-4.6e-02	 -4.0e-01
ENSG00000185359	HGS	protein	-4.3e-03	-7.5e-01	 5.8e-02	 6.0e-04	 5.4e-02	 3.1e-02	-8.3e-02	-3.5e-06	-2.2e-02	-2.2e-01	 8.1e-02	 1.3e-01	 3.9e-02	 1.5e-01	-1.4e-01	-1.2e-03	 -7.6e-01
ENSG00000165102	HGSNAT	protein	 1.2e-01	 1.2e-02	 1.6e-01	 1.6e-03	 1.7e-01	 1.1e-02	-2.0e-01	-6.1e-07	 3.8e-02	 4.0e-01	-4.6e-01	-2.3e-03	 5.4e-01	 2.5e-03	NA	NA	  1.3e-01
ENSG00000054392	HHAT	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000010282	HHATL	protein	NA	NA	NA	NA	-4.9e-01	-6.6e-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 -6.6e-02
ENSG00000152804	HHEX	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.2e+00	-8.9e-07	NA	NA	 -8.9e-07
ENSG00000164161	HHIP	protein	NA	NA	NA	NA	NA	NA	-1.3e+00	-5.4e-21	-1.2e+00	-4.2e-21	NA	NA	NA	NA	NA	NA	 -1.9e-40
ENSG00000182218	HHIPL1	protein	NA	NA	NA	NA	 3.8e-02	 9.6e-01	NA	NA	-2.9e-02	-7.9e-01	NA	NA	 6.1e-01	 9.5e-03	NA	NA	  1.7e-01
ENSG00000143512	HHIPL2	protein	NA	NA	NA	NA	NA	NA	NA	NA	 2.0e-01	 3.3e-01	NA	NA	NA	NA	NA	NA	  3.3e-01
ENSG00000132297	HHLA1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000114455	HHLA2	protein	 8.9e-01	 2.8e-09	NA	NA	NA	NA	NA	NA	-2.4e-01	-2.5e-01	NA	NA	-2.5e-01	-3.6e-01	NA	NA	  2.5e-02
ENSG00000197568	HHLA3	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
